# 方格子文章 URL 清單
# 格式：標題 | URL
# 新增文章直接在對應主題區塊下面加一行，然後跑 python generate_site.py 就會自動更新

# === batch_01 行動電源・充電器（21 篇）===
擴香瓶蠟燭水氧機差在哪？居家擴香怎麼選｜2026 | https://vocus.cc/article/69b228b6fd89780001ae4d0e
香氛蠟燭新手必看：5個常見錯誤｜燭芯隧道效應2026 | https://vocus.cc/article/69af8341fd89780001b8c34a
蠟燭蠟材怎麼分？大豆蠟石蠟椰子蠟差在哪｜2026 | https://vocus.cc/article/69b105d7fd897800012e5bd5
精油香調入門｜前調中調後調怎麼分？2026指南 | https://vocus.cc/article/69b3a428fd897800011a0319
擴香瓶味道變淡怎麼辦？5 個方法讓香味回來｜2026 | https://vocus.cc/article/69b370b6fd8978000108e43a
蠟燭隧道效應怎麼救？3個方法把凹洞修回來｜2026 | https://vocus.cc/article/69b11184fd897800013222ce
精油過期還能用嗎？保存期限變質判斷再利用｜2026 | https://vocus.cc/article/69b39dbcfd897800011829fa
水氧機怎麼清洗？保養3步驟不變細菌溫床｜2026 | https://vocus.cc/article/69b38cb4fd8978000112da53
車用香氛太濃怎麼辦？5個方法調整濃淡｜2026 | https://vocus.cc/article/69b00331fd89780001e5340b
居家香氛完整指南｜蠟燭擴香瓶精油怎麼選2026 | https://vocus.cc/article/69b38022fd897800010e36ae
水氧機怎麼清洗？保養 3 步驟不變成細菌溫床｜2026 | https://vocus.cc/article/69b7cd73fd89780001310a77

# === batch_03 兒童節禮物（8 篇）===
【兒童節平價禮物推薦2026】7款小朋友玩具評比｜送禮不踩雷 | https://vocus.cc/article/69b8f755fd89780001fef231
【2026兒童智慧手錶推薦】6款定位通話手錶評比｜接送安全不擔心 | https://vocus.cc/article/69b90b36fd897800010438cc
兒童玩具安全標章怎麼看？ST、CE、ASTM 一次搞懂｜2026 | https://vocus.cc/article/69b92600fd897800010c3d23
【兒童書包推薦2026】7款護脊書包評比｜小學生這樣選不踩雷 | https://vocus.cc/article/69b928b8fd897800010d082b
【兒童益智玩具推薦2026】8款教育學習玩具評比｜邊玩邊學不踩雷 | https://vocus.cc/article/69ba0824fd897800013fad9e
【兒童相機推薦2026】5款小朋友拍立得相機評比｜新手爸媽必看 | https://vocus.cc/article/69ba0e20fd897800014146f1
兒童節送禮完整指南｜7 款兒童禮物從玩具到手錶照年齡選不踩雷 | https://vocus.cc/article/69ba171cfd89780001445a92
小學生書包太重怎麼辦？5 個方法減輕書包重量｜2026 | https://vocus.cc/article/69ba2156fd8978000147bb8a

# === batch_04 監視器攝影機（2 篇）===
【2026嬰兒監視器推薦】｜新手爸媽必看 6 款嬰兒攝影機｜CuboAi/小米/TP-Link 評測 | https://vocus.cc/article/692d62ccfd89780001b4b88e
【2026小米攝影機推薦】PTT/Dcard熱議！租屋怕被偷看？寵物獨自在家不安心？6款高CP值智慧監控實測比較 | https://vocus.cc/article/692908c8fd897800018ba26f

# === batch_05 旅遊網卡（2 篇）===
【2026日本網卡推薦】PTT/Dcard熱議！5款eSIM/實體卡評比，$119起一下飛機就有網路 | https://vocus.cc/article/692e4f6afd89780001ebe783
【2026印尼峇里島網卡推薦】4家方案評比｜吃到飽怎麼選 | https://vocus.cc/article/69a271eafd89780001011eef

# === batch_06 情人節禮物（5 篇）===
【2026 情人節禮物女友實用推薦】7 款送女友每天都會用｜PTT Dcard 好評懶人包 | https://vocus.cc/article/69a5471bfd89780001bca748
【情人節禮物女友不踩雷2026】6 款安全牌推薦｜PTT Dcard 都說送這個不會錯 | https://vocus.cc/article/69a531c2fd89780001b64a07
【2026情人節禮物女友1000元】6款質感好物評比｜送禮不踩雷 | https://vocus.cc/article/69a51d47fd89780001b0713a
【2026情人節禮物1000元以下】7款平價好物評比｜小資不踩雷 | https://vocus.cc/article/69a30b3dfd8978000126f468
【2026情人節巧克力禮盒推薦】7款不同價位評比｜不踩雷 | https://vocus.cc/article/69a307b8fd897800012607f7

# === batch_07 母親節禮物（5 篇）===
不知道送媽媽什麼？母親節送禮5大方向，照著選就對了｜2026 | https://vocus.cc/article/69ba44fafd89780001512134
【2026母親節保養品推薦】6款護膚禮盒評比｜送媽媽有面子 | https://vocus.cc/article/69ba5cedfd8978000157ad90
【2026母親節平價禮物推薦】7款小資送禮好物評比｜送禮不踩雷 | https://vocus.cc/article/69ba71c3fd897800015d455f
【母親節廚房家電推薦2026】8款送媽媽料理家電評比｜實用不踩雷 | https://vocus.cc/article/69bb88a8fd89780001aa737e
母親節禮物怎麼挑？按預算和媽媽類型選不踩雷｜2026 送禮指南 | https://vocus.cc/article/69bb9249fd89780001ad35e6

# === 其他（1 篇）===
【2026搞笑交換禮物推薦】9款地獄禮物評比｜廢到笑但實用 | https://vocus.cc/article/692add13fd8978000107e7ea

# === 新增 ===
快充會傷電池嗎？65W 快充和磁吸充電的真相｜2026 | https://vocus.cc/article/69be11c3fd89780001b6bebe

# === 新增 ===
媽媽生日禮物送什麼？按預算和類型選不踩雷｜2026 | https://vocus.cc/article/69be1b84fd89780001b9886f

# === 新增 ===
【2026母親節禮物推薦】7款送媽媽排行評比｜照預算選不踩雷 | https://vocus.cc/article/69be21b0fd89780001bb134c

# === 新增 ===
【送媽媽實用禮物推薦2026】8款母親節禮物評比｜媽媽每天都用到 | https://vocus.cc/article/69be3e3ffd89780001c30584

# === 新增 ===
【衣物香氛袋推薦2026】7款芳香包評比｜衣櫃放著就香 | https://vocus.cc/article/69be48d9fd89780001c6b02d

# === 新增 ===
除濕機有霉味怎麼辦？清洗保養3步驟不讓它變霉菌溫床｜2026 | https://vocus.cc/article/69bf7c98fd89780001218288
